goal_location,ps_location_0,ps_location_1,ps_location_10,ps_location_11,ps_location_12,ps_location_13,ps_location_14,ps_location_15,ps_location_16,ps_location_17,ps_location_18,ps_location_19,ps_location_2,ps_location_3,ps_location_4,ps_location_5,ps_location_6,ps_location_7,ps_location_8,ps_location_9,real_location
"(-15.05, -12.999999999999998)","[(22.582017973195477, -8.578800076264855)]","[(22.513293007470068, -8.06643041721179)]","[(22.533451873560267, -8.069195038717918)]","[(21.824081824738983, -8.641329584793915)]","[(21.968976167837162, -8.048785855920865)]","[(23.20031793873128, -8.450194363005181)]","[(22.15158979852249, -8.662109588360021)]","[(22.479808961233577, -7.675836746558536)]","[(21.874795736038468, -7.793960596089899)]","[(22.386319592989853, -7.2891802891318696)]","[(22.189615213572687, -7.158019179816133)]","[(21.94502407943034, -7.936136153287212)]","[(23.199127945633702, -8.744860218922273)]","[(22.365432138830986, -8.040029031230755)]","[(22.35865648180007, -8.094185016896354)]","[(22.41301331849163, -7.044607513198567)]","[(21.725554152676224, -7.658684389334098)]","[(22.39354061436666, -8.621918099342926)]","[(21.616100334741173, -7.553748622950614)]","[(22.240905715163542, -8.07260860728233)]","(23.25, -9.449999999999998)"
"(-13.5, 12.950000000000003)","[(7.250068464516584, 19.65468053563953)]","[(6.344085729431337, 20.6208657320284)]","[(6.815736949320538, 19.33495688222362)]","[(7.829372234561578, 20.50660178555991)]","[(7.012359423215822, 20.384166277411698)]","[(6.684538370364489, 20.70956110470745)]","[(6.0945325632118115, 20.616565877421284)]","[(6.266212301044511, 19.28066640365294)]","[(6.598747801134703, 19.314459603686345)]","[(6.467363024005144, 20.62704047414827)]","[(7.148671721048746, 20.523044135306474)]","[(6.901433775619595, 19.074585878076167)]","[(6.283529753512537, 20.635609341327257)]","[(7.336738090009785, 20.77430630784842)]","[(7.000774203052862, 19.40550135504408)]","[(7.127599282701315, 20.03920358047261)]","[(7.021648441830566, 19.148918976916885)]","[(7.870603644912963, 20.605824469528393)]","[(7.252265801748651, 20.010539919144573)]","[(7.557565103314005, 20.304066666095363)]","(8.5, 21.1)"
"(11.25, 20.450000000000003)","[(-2.538964958862662, 9.704542235862439)]","[(-1.1604207012626264, 8.703409438391617)]","[(-1.6841334377507693, 8.112488860631702)]","[(-2.4023826928643475, 9.310742182850145)]","[(-1.5496169458735025, 8.704105688869651)]","[(-1.8371484570378431, 9.37614526779565)]","[(-2.301776504060692, 9.879381875265521)]","[(-1.633906360919013, 9.08784929326393)]","[(-2.0538373359145554, 9.164108540637969)]","[(-1.834959465879408, 8.757776364725892)]","[(-1.9099929028815918, 9.337860478713436)]","[(-2.032339519986776, 9.031251299983106)]","[(-2.5481114970668, 9.110430219093617)]","[(-0.9057894720764167, 9.26627276792013)]","[(-1.9639438541179892, 8.70381531454785)]","[(-1.8376103458799273, 9.053013753543627)]","[(-2.107184937956547, 9.664151499999448)]","[(-2.1652770140350666, 8.546770159560413)]","[(-2.054473436091979, 9.120610422723274)]","[(-2.3969697784941535, 8.796937995475375)]","(-0.5999999999999979, 8.250000000000004)"
"(-13.149999999999999, 14.150000000000006)","[(-3.0700963689555594, 1.9501192518217545)]","[(-2.3539147091237647, 2.6632773420179547)]","[(-1.7495281871153914, 2.702699284839545)]","[(-2.10842540020988, 3.037836989682109)]","[(-2.628113495071277, 2.634258275205643)]","[(-1.8849858872916179, 2.796963102610325)]","[(-2.2493155163739327, 2.5274389181159265)]","[(-2.8057573589962366, 2.9162330140846167)]","[(-2.7368079224358612, 2.8105135161044714)]","[(-2.3552049846239282, 1.81044003570939)]","[(-3.046394923455281, 3.095832740128903)]","[(-2.2102631060082936, 2.787523102883894)]","[(-2.0865173433960402, 2.703647884584294)]","[(-2.6917033558889547, 2.5472758331884964)]","[(-1.9297679267689547, 2.8514473516857475)]","[(-2.1542452086017536, 3.069335383580892)]","[(-1.7538505937716242, 2.5417951542110786)]","[(-1.9813343924038644, 1.786412091140447)]","[(-2.7349755636911555, 3.2194349541942175)]","[(-2.98698424853519, 3.2103896895200057)]","(-0.8499999999999979, 3.1000000000000014)"
"(-1.6999999999999993, 22.1)","[(5.33062953690515, -17.794626953136376)]","[(6.329163945479401, -17.971273724131212)]","[(6.350980999374354, -17.98354711653948)]","[(5.181276997547845, -17.94632641793209)]","[(5.604768536245345, -17.885368791576653)]","[(6.812308173989046, -17.802769353128596)]","[(6.317585382415501, -17.26702846783419)]","[(5.263558493545055, -18.17564056835622)]","[(5.3646741578218595, -17.833722107264766)]","[(6.297939254919616, -18.44165258531747)]","[(5.89567804033065, -17.77829849340917)]","[(5.460811214400175, -17.278972847944697)]","[(5.371088310565668, -18.52288693397965)]","[(5.82228422253021, -17.401049334827686)]","[(5.336587789026057, -18.254639052930706)]","[(5.930082199789137, -17.79115474924219)]","[(5.2823928212898, -18.212439470255852)]","[(6.22698172863195, -16.20317115841555)]","[(5.702130744274489, -18.17020358614009)]","[(6.22698172863195, -16.20317115841555)]","(4.700000000000003, -16.5)"
"(12.899999999999999, 2.400000000000002)","[(2.6230800472221576, 18.280491167885142)]","[(-0.04453121404818838, 19.349273382921286)]","[(0.2821680840677011, 18.440908798099613)]","[(1.4662500349461525, 17.83974433668911)]","[(1.9431920430913436, 19.812515697729275)]","[(1.3619161024151403, 17.864105177885975)]","[(1.5958612063225575, 19.190079249337238)]","[(1.012509746037558, 19.091289243757007)]","[(1.9431920430913436, 19.812515697729275)]","[(0.884195010097078, 18.338871675827676)]","[(1.8447234012306657, 18.877789823415558)]","[(0.6189818648498409, 19.238535565462378)]","[(0.06000578413435276, 18.61796812032075)]","[(0.3883648783896173, 19.24074454877664)]","[(1.4262527508114835, 18.72537914841875)]","[(1.1110046872565835, 18.387388041139534)]","[(0.4846060895755664, 19.752639375017782)]","[(1.3179709956391723, 18.431174754576904)]","[(0.9915163244338157, 18.777916386728805)]","[(0.30417024630018896, 18.527195749445905)]","(2.25, 17.6)"
"(20.300000000000004, -13.599999999999998)","[(10.537349354004045, 2.0074890857650116)]","[(11.017455264696716, 2.2002211004175516)]","[(11.226398787166659, 2.1046498047823334)]","[(11.284254191384052, 2.0731509899492835)]","[(10.933451920072045, 1.8032969533559045)]","[(11.030540215422716, 2.4615034175606416)]","[(12.07842691946618, 1.6801558073571856)]","[(11.203880086040602, 2.446249099224033)]","[(11.32380026746555, 2.033824525738098)]","[(10.454148542498299, 1.5522208858462716)]","[(11.32204197133394, 2.2251830935385706)]","[(11.61997961164935, 2.342104810191052)]","[(11.524842000416669, 1.0063305122983597)]","[(11.792993415505476, 1.97662367054742)]","[(11.226499165197572, 1.333312230310988)]","[(11.538465770244779, 1.9192259279887964)]","[(11.416493028062966, 2.0820646681132486)]","[(11.164810663355302, 2.2333086998009195)]","[(11.210563357534346, 2.015143895272801)]","[(11.675512445588069, 2.050878154207526)]","(12.350000000000001, 0.5500000000000043)"
"(27.1, -11.599999999999998)","[(-9.694522385100026, 7.3400268421164725)]","[(-9.860611026344097, 7.7888846187199565)]","[(-9.805222164774246, 7.988251593090954)]","[(-9.15531629224, 7.425128234631287)]","[(-9.570083975568725, 6.970653300077507)]","[(-8.723891781395404, 7.643817247920777)]","[(-9.447549119740582, 6.690783918374762)]","[(-8.22972530827405, 7.4011374711361135)]","[(-9.382904840485113, 6.881290092379781)]","[(-9.277523774987586, 7.734345839532503)]","[(-9.646953832797823, 6.769905400386057)]","[(-9.857858823527916, 7.0179671270307855)]","[(-8.457122052470286, 7.1090761847785355)]","[(-9.25771810430615, 7.826726069451267)]","[(-8.75423289802852, 6.534365703869939)]","[(-9.559011990634216, 7.037749092260201)]","[(-10.185201276430437, 7.647386836199895)]","[(-10.12961524715018, 7.340174986128563)]","[(-8.252318785156417, 7.451669627620128)]","[(-9.917850213646531, 7.342064655846258)]","(-10.2, 8.750000000000004)"
"(21.0, 2.0500000000000043)","[(4.50647246127565, 11.273739858137388)]","[(4.46556260821438, 12.505563436574368)]","[(5.4075392608236434, 12.157686031910673)]","[(3.793100617527898, 11.448888219775087)]","[(5.620028735362629, 11.45146935334767)]","[(4.14884540600513, 12.569844375962358)]","[(4.11821123365027, 10.535195113664813)]","[(5.184549170419173, 11.123625189776906)]","[(4.773023368325848, 11.979882556135033)]","[(4.6946823617656985, 11.658818993571424)]","[(5.399881419070013, 12.609728246851592)]","[(3.919406925299563, 11.970898611889897)]","[(5.185937694640599, 11.676096040715494)]","[(4.4804966615510144, 12.005017347169417)]","[(3.8030400576220638, 11.25807491198438)]","[(4.0840972479046505, 11.73792601662522)]","[(4.719195054484648, 11.243503872193624)]","[(4.5295403589492516, 11.8660051240963)]","[(5.078952686325527, 12.596895090339608)]","[(4.594727765017286, 10.934185240729828)]","(4.25, 13.0)"
"(5.25, 21.650000000000006)","[(14.673419120501276, 21.048839636667505)]","[(14.634794442891431, 21.345243570825193)]","[(14.568180749529802, 21.54023473115314)]","[(14.757934911322492, 20.47285468665998)]","[(14.780322331208946, 21.837264988768457)]","[(14.818638826561182, 21.20323598600731)]","[(14.85858055919795, 22.138588827541895)]","[(15.31404978902987, 21.419480440407767)]","[(14.831334812454088, 21.38633088537562)]","[(14.607291498603136, 21.803237495094585)]","[(15.36533142853621, 22.60868267952461)]","[(14.673419120501276, 21.048839636667505)]","[(14.407208482274504, 22.335581335817505)]","[(15.541230264301147, 23.325116465895846)]","[(15.059363437110074, 21.316596949833624)]","[(14.82225938934052, 21.777195451369874)]","[(14.272934425262338, 21.025881157128243)]","[(14.612859345568108, 20.91549028346777)]","[(15.19142523991472, 21.809175114939833)]","[(15.095387941027822, 21.238573699430695)]","(14.149999999999999, 22.550000000000004)"
"(-0.6499999999999986, 4.100000000000001)","[(9.962862629655326, 22.504142862511323)]","[(9.455940123278003, 21.561177282831846)]","[(9.680518904086068, 22.027446474855925)]","[(10.136502722026242, 22.389674293596347)]","[(10.17413669882868, 22.09308553114201)]","[(8.754980274496164, 22.38887959693416)]","[(8.853498928664175, 21.88988740255582)]","[(10.465274880893176, 22.356568199331402)]","[(10.249810938618646, 21.501979410751353)]","[(9.160876846314379, 22.914811882774366)]","[(10.284081960430935, 21.09785790635977)]","[(10.045689541801481, 21.267125925759938)]","[(9.10736700598449, 22.54396749160745)]","[(9.630378159791281, 22.533787140001916)]","[(10.028503815704973, 22.183971507444042)]","[(8.498187811987163, 21.60014399674487)]","[(9.86349683033077, 22.025594909597046)]","[(9.607423821912398, 21.854980411908862)]","[(9.191213786651431, 21.999817456125193)]","[(9.22407853431326, 21.990017723419477)]","(9.450000000000003, 20.800000000000004)"
"(31.450000000000003, -16.849999999999998)","[(-18.230293568677382, 8.058289118600857)]","[(-18.924702655585627, 8.69856326850817)]","[(-18.358691063324272, 8.346503366313486)]","[(-18.215459831273932, 8.362577479805926)]","[(-18.186561347289786, 8.144760038990155)]","[(-18.481531245085122, 8.432782286654792)]","[(-17.731883372509497, 8.15369025060862)]","[(-18.318366322569254, 8.54565050553456)]","[(-19.01456560805391, 8.854803783514201)]","[(-18.682263711069826, 8.595235325205303)]","[(-18.25137258777, 8.493019461471286)]","[(-17.083968978679977, 7.752960208570032)]","[(-17.580545934038117, 7.814930190571238)]","[(-18.14319344244758, 8.569018569290629)]","[(-18.528827109360325, 8.217084304926178)]","[(-18.875752459410005, 8.797254012888827)]","[(-17.803509172284354, 7.5932430139141776)]","[(-18.29127715828695, 8.287760535149395)]","[(-18.0797489438796, 8.286537512220628)]","[(-18.223444202576605, 7.819188043855081)]","(-18.55, 6.600000000000001)"
"(36.050000000000004, -16.849999999999998)","[(-7.81829180969076, -6.95041072377157)]","[(-8.299892811224812, -6.4903934846390285)]","[(-8.237506807310492, -6.828564323464773)]","[(-8.251031069837184, -6.6621907147127075)]","[(-8.06892703869826, -7.781786574709621)]","[(-8.692184533305447, -6.8300178026864495)]","[(-7.950656444488079, -7.669578337088555)]","[(-8.18872418378, -6.9196585835387125)]","[(-7.801931023437761, -7.608190888118371)]","[(-8.148728313767815, -6.7602817758942715)]","[(-8.200661890641253, -7.02039760759354)]","[(-7.5738878220861645, -8.720712651567693)]","[(-8.26947180286579, -7.790941215629918)]","[(-8.08317562763934, -7.122753411139694)]","[(-7.826503414081935, -8.06488348196816)]","[(-7.507990235619656, -6.772446541870124)]","[(-7.455901550862538, -7.553511034816999)]","[(-7.997606008270767, -7.873886437996766)]","[(-8.121409005740563, -6.737263009979724)]","[(-7.426654557509892, -6.997347189568876)]","(-8.049999999999999, -5.399999999999999)"
"(-18.45, 6.550000000000004)","[(-9.745232480265274, 19.340489183806397)]","[(-9.141013202947072, 19.701694183287106)]","[(-9.516465001852259, 20.975250063061107)]","[(-8.773942370747676, 20.901885156318205)]","[(-9.165593930197838, 21.208843571558017)]","[(-9.11756332664404, 21.211234764083883)]","[(-9.029461202727255, 20.459515719574576)]","[(-9.839967104602836, 20.233070059544872)]","[(-8.945086446189505, 21.2700194380035)]","[(-8.800243668793854, 20.44986365445307)]","[(-9.012505615567978, 20.00648218521604)]","[(-8.970315795071652, 20.981927885739726)]","[(-9.09770716621634, 21.41497653362115)]","[(-8.708585125228101, 20.363419799343585)]","[(-8.465793895768018, 20.356424310952672)]","[(-9.00522468467211, 21.14441357376376)]","[(-8.743075970467551, 20.75722063475117)]","[(-8.531828133513757, 20.402712610133566)]","[(-9.020451563347407, 19.97939576928587)]","[(-9.124439892299826, 20.893030383055304)]","(-7.35, 21.500000000000007)"
"(-9.799999999999999, -16.95)","[(16.875630393980867, -0.49951137189656675)]","[(16.513915369288082, -1.5570613567637088)]","[(16.587180640788524, -1.060188997395896)]","[(17.429068991733036, -1.2953359077690103)]","[(16.131196771139425, -1.789271447231338)]","[(16.715308689058524, -0.9383688915247006)]","[(16.896430312895795, -0.632412220442431)]","[(15.913310917276469, -1.5861571619158057)]","[(17.36983721123763, -1.074697511102361)]","[(17.182356891536845, -0.56786324126189)]","[(16.087530541474504, 0.03703092744750747)]","[(15.883372745122678, -1.8956497141665227)]","[(16.587314997690815, -1.3027116857307974)]","[(16.208147688005376, 0.02559484005106627)]","[(15.972128695520686, -0.9016456187588453)]","[(15.893746425373257, -0.27965808099165823)]","[(16.278413441537776, -1.0063612514106974)]","[(16.47159683163793, -1.0874486840713202)]","[(17.50133149594746, -1.429088288427)]","[(16.3744962202691, -0.7787214718202866)]","(16.5, -2.349999999999998)"
"(-3.099999999999998, -11.899999999999999)","[(1.398302082324462, -12.474980052393983)]","[(1.2376648047258998, -13.87054888773825)]","[(1.3464617031852477, -13.37779213978034)]","[(1.0940529423752399, -13.349184873503216)]","[(0.7612575337287171, -12.57370819419664)]","[(1.6129552118977188, -12.061711995411208)]","[(1.9958205815711183, -13.207256021176404)]","[(1.4706079412240292, -12.960829105282153)]","[(1.0384426679508112, -13.742042802101286)]","[(1.62169108704917, -12.805940614319777)]","[(1.038661386691159, -13.286866826439303)]","[(1.2777406770668784, -12.83961881757662)]","[(1.7679954087056444, -13.198189637538515)]","[(1.4066742519697921, -13.556823881244558)]","[(0.5111921774656083, -12.66220215174532)]","[(1.792431700129041, -12.906649537106924)]","[(1.0128761243891526, -12.26593916178254)]","[(2.2404503410370373, -13.102844415742577)]","[(0.8447852327459877, -12.20823779479848)]","[(0.5714213229228412, -12.993541741351505)]","(1.6500000000000021, -11.449999999999998)"
"(11.5, -5.6999999999999975)","[(-0.6944974899939009, 5.304207140852602)]","[(-0.6651052422680359, 5.019567671785391)]","[(-0.6799245534572144, 5.511242904330526)]","[(-0.7569924461193427, 5.449870351484194)]","[(-0.2904396267702823, 5.466782156249132)]","[(-0.18685933591814552, 4.5998870374430405)]","[(-0.3401519305818519, 6.680161962091806)]","[(-0.3467253178107714, 5.810238920349025)]","[(-0.44170969153881323, 6.239701623885793)]","[(-0.5510494016171208, 5.395206680231395)]","[(-0.7762925569600845, 5.889916883392656)]","[(0.40899855105968214, 4.635515836517453)]","[(0.23340305064579686, 5.584063912502011)]","[(-0.5302427551494071, 5.008129803095868)]","[(-1.0738642911164413, 5.679756173715231)]","[(-0.4056871080900478, 6.8619708414300415)]","[(-0.7795470082690794, 5.865858030434574)]","[(-0.8913065251453336, 5.990462653233491)]","[(-0.6756558201888117, 5.679575443471242)]","[(0.0333058243485993, 5.747004583525495)]","(-1.5, 7.0000000000000036)"
"(13.899999999999999, -7.799999999999997)","[(8.364223800293225, -1.0050735347374125)]","[(8.311323059955559, 0.15069557171023076)]","[(8.907447047991795, -0.3728244575535418)]","[(9.40695237006957, -0.21473577155450152)]","[(9.192714662590456, 0.339515598516333)]","[(8.79496773970175, -0.24680584838725322)]","[(9.30973649621048, 1.1182304706658253)]","[(8.596898104989778, 0.3520972044789407)]","[(10.170179651080769, 0.33065615304187657)]","[(8.81856682537727, -0.3357653060379653)]","[(9.428678052299134, 0.4487553394522501)]","[(8.316106033981177, 0.3683890319743863)]","[(9.722492168916732, -0.7072753343928901)]","[(9.318950869776186, -0.41840151945101145)]","[(9.38605351315772, 0.9292074362937902)]","[(9.245419747853273, 1.0802365504840297)]","[(8.772567862521841, -0.8521023397238515)]","[(8.992326973746048, 0.7661336357850045)]","[(8.4248353156383, -0.45458372794872837)]","[(8.633120322268718, -0.8090094014429596)]","(10.400000000000002, -1.1499999999999986)"
"(18.65, 4.850000000000001)","[(13.056439375045827, 8.972347371096845)]","[(12.355130581736594, 9.613928472229793)]","[(12.506401800783214, 9.654738493471813)]","[(13.537275029353115, 10.12152504427845)]","[(12.45495274241653, 10.48268759839582)]","[(11.724582179741674, 8.861552720685252)]","[(12.540824570714253, 9.160654661104132)]","[(12.853066671351705, 8.849645669857972)]","[(12.914508324961057, 9.964132053640848)]","[(11.647464480974701, 10.285777257780929)]","[(12.896788031025768, 10.269514659714217)]","[(12.631498936205904, 10.425739276375854)]","[(12.07127448907081, 10.052767539905561)]","[(13.103116283378649, 9.520176085577694)]","[(12.53006407153346, 10.789543831718603)]","[(12.3737333559173, 9.24367986414126)]","[(12.540824570714253, 9.160654661104132)]","[(11.929913461308557, 9.242263095595469)]","[(13.415697732691363, 10.038638295570316)]","[(13.085051801030902, 9.54806545467006)]","(12.200000000000003, 8.600000000000001)"
"(-2.1499999999999986, 20.450000000000003)","[(11.035059326076615, -7.654098518619589)]","[(10.312559633089723, -8.029362239863028)]","[(11.121549268382706, -7.266562933326174)]","[(9.317704082616128, -7.245496039653813)]","[(9.985646907443265, -7.705423073898075)]","[(10.931346504946115, -7.964345959582181)]","[(10.459214366345327, -8.243911565561056)]","[(10.499650204630564, -8.01607129022117)]","[(10.975730751526664, -7.432242056403297)]","[(10.632762871400416, -8.515049401594917)]","[(11.149774841949451, -7.2212917106188526)]","[(10.454702606772688, -6.954859438746132)]","[(11.239568516671858, -7.8291261499625024)]","[(10.688561824692407, -8.84396099057519)]","[(10.874850534095795, -7.265666346022431)]","[(11.378461072504367, -7.764722394566221)]","[(11.13481100478374, -7.783500753636326)]","[(10.931346504946115, -7.964345959582181)]","[(10.676952372476071, -8.27593082680061)]","[(10.739050463515877, -8.705094026975397)]","(9.5, -7.4499999999999975)"
"(-7.549999999999999, 9.650000000000002)","[(18.487296583775294, -1.8999398816485997)]","[(18.62148855654195, -0.5316052575799592)]","[(19.035900732609925, -0.699751158613722)]","[(19.003689072089404, -1.9452572740488232)]","[(18.51215978815789, -1.2204284914362395)]","[(18.766054816242615, -1.8350973627498117)]","[(19.078831868760602, -1.1379775613259309)]","[(19.84662527587258, -1.58101948150142)]","[(19.03678575449551, -2.0828244605235335)]","[(18.98667906345567, -1.659993255441894)]","[(18.027455536320684, -1.6804373274888453)]","[(19.370928372564904, -1.7931443262761777)]","[(18.605495378250797, -0.8466988130709809)]","[(18.0232900531877, -2.1893083229003873)]","[(18.927400410360082, -1.72376756455684)]","[(18.46952399479484, -1.299765798631816)]","[(19.350519951247612, -1.2613570060419228)]","[(18.946879353298993, -1.0838140757265986)]","[(18.860546619845877, -1.737361813158347)]","[(18.859312279765884, -2.7475223102937125)]","(16.85, -2.299999999999997)"
"(29.200000000000003, -5.049999999999997)","[(17.595749494268553, 18.326900966391488)]","[(16.79901033953613, 18.687811406517614)]","[(16.46498122369782, 18.213682214300388)]","[(17.28838604047546, 18.209232941158373)]","[(16.50049863928054, 17.49539820608665)]","[(17.43806653256615, 16.75805630968911)]","[(16.3862890506423, 18.448960251768607)]","[(16.5345241780298, 18.011421708053142)]","[(17.15290743001199, 17.39048790543047)]","[(16.046070048924868, 17.304776951629318)]","[(16.34941386995473, 17.511841763592933)]","[(17.22586301921238, 18.55167474648192)]","[(17.810922166692265, 17.24849440835865)]","[(17.738785578883583, 17.197258614742076)]","[(16.021082813197346, 17.72056914840705)]","[(17.12249432824895, 17.598656482446717)]","[(16.27508654843718, 17.825996932591718)]","[(17.403171155177255, 18.591309060872213)]","[(16.752861097140222, 17.270649116031045)]","[(16.35599243931919, 18.734223415956475)]","(16.0, 17.400000000000006)"
"(-12.899999999999999, -2.6999999999999993)","[(12.50229115551198, 14.293987420322702)]","[(12.785415863872815, 14.881480327147292)]","[(12.029671176440928, 14.718929093146855)]","[(12.186547247661677, 14.06382481457465)]","[(12.397975459108844, 15.18556651273422)]","[(12.432282348392036, 14.888765713118953)]","[(12.720371716923639, 13.607988123836272)]","[(12.604772742541135, 13.843899272070514)]","[(12.5671998869241, 13.636363567852992)]","[(12.642198507472363, 14.64757375962157)]","[(12.57107619025623, 15.013456646430697)]","[(12.538029976273094, 14.774863605487273)]","[(12.232161957452442, 14.424674432725642)]","[(12.642829739287906, 15.028567062238341)]","[(12.356731348715824, 14.793071569311468)]","[(12.253530656245813, 14.541933280822548)]","[(12.36684215031692, 14.353664559240185)]","[(12.022284236875798, 14.548876278971466)]","[(12.422947980502677, 14.1311436396401)]","[(12.204280299990215, 14.297042445111881)]","(12.25, 15.350000000000001)"
"(-14.649999999999999, -9.749999999999998)","[(18.714118670736134, 3.347742017317616)]","[(19.619848708782328, 2.2441630296659874)]","[(19.229669335434156, 1.7009481145436025)]","[(17.70331307445718, 1.6191663208818379)]","[(17.850603337924177, 2.9650117815512735)]","[(18.642376989918656, 2.1610902630424826)]","[(19.484556586332218, 2.1922565456406566)]","[(19.177487293911376, 1.3352184614549223)]","[(19.203295667110197, 2.273161505054031)]","[(19.482742615311267, 1.8111952331789958)]","[(17.980490511920227, 2.170894923718515)]","[(19.577707215304223, 2.102248570142089)]","[(19.415075421906636, 2.7989534097635973)]","[(18.871275511562185, 2.20601539255139)]","[(18.92946187587027, 2.0156350621621484)]","[(18.961759942815878, 1.3578280946746024)]","[(18.52695437734537, 2.9254641104985315)]","[(19.000311770035665, 2.4708798016622855)]","[(20.00212783155361, 2.5938153461344795)]","[(18.974128715867813, 2.7465653468504505)]","(19.75, 1.1500000000000021)"
"(24.75, 7.300000000000004)","[(28.188883372792045, -13.562858179864147)]","[(27.300394758743384, -14.175723867474554)]","[(28.05341099204365, -14.641992891612396)]","[(27.72079668433128, -13.930569293198083)]","[(27.11347246561141, -14.790625692716155)]","[(27.877444340283056, -14.28326622159973)]","[(27.43533835734116, -13.960259476382626)]","[(27.45837811245623, -13.917023788569304)]","[(27.79823171619363, -13.899716011930842)]","[(27.214314097019628, -13.867832083334052)]","[(28.536476843154695, -14.650957103039605)]","[(26.987144011400922, -13.711110565563413)]","[(27.215647844151647, -15.41134017894093)]","[(28.287304341021642, -14.622122335334392)]","[(27.774666234159984, -14.801675707928931)]","[(28.219220210162597, -13.9855471830263)]","[(27.670361751804272, -13.805548156903589)]","[(26.750586839374698, -14.077660270349073)]","[(28.33635302033763, -14.585929650632362)]","[(27.71163928964347, -14.28382069953385)]","(27.5, -15.849999999999998)"
"(6.25, 19.000000000000007)","[(-13.506294566736619, -0.8289105774708109)]","[(-13.027600541691704, -0.49931397698443597)]","[(-13.88336646863955, -1.10098003842441)]","[(-13.44200252383935, -0.9785428343281709)]","[(-13.581864643340678, -1.0248800415923198)]","[(-13.04886926286486, -1.1697837557190365)]","[(-13.60586613596082, -0.5009494886299317)]","[(-13.847892507424293, -0.22093340281145746)]","[(-13.429398940824958, -0.7418075994739494)]","[(-14.223129849506494, -0.007647219505917069)]","[(-13.014553715625404, -0.3627440393082232)]","[(-12.525784284073046, -1.3028889342751135)]","[(-13.372982664954831, -1.255080292126776)]","[(-13.494096169989804, -0.35570325717162127)]","[(-13.824322099215335, -0.480890992259459)]","[(-13.570014966566541, -0.8143333891901745)]","[(-13.037032276933468, -0.8866992771945383)]","[(-13.351664957743187, -1.1409562404952838)]","[(-14.336307839402046, -1.198411965782869)]","[(-12.898885557735095, -0.8005498329951777)]","(-15.05, -0.24999999999999645)"
"(-9.25, -7.599999999999998)","[(14.0836249214986, 13.238582070999332)]","[(13.607313059746437, 13.798665288052852)]","[(13.132456696895755, 14.271419873380955)]","[(13.362652136101474, 13.727666143709966)]","[(14.477306516020885, 14.145361890746322)]","[(13.692917009054367, 12.67320349678659)]","[(14.395463495529603, 13.85224530332825)]","[(14.702968405719048, 13.286715873471405)]","[(13.24852577234029, 13.65340383679362)]","[(13.889871005834758, 13.737821266812057)]","[(13.27609610380499, 13.624236940425764)]","[(12.917167907844652, 13.697582521225218)]","[(13.269639610850597, 13.540933098751003)]","[(12.747031013158072, 13.555666827741858)]","[(13.242248791075939, 13.123167421630088)]","[(13.763204342830036, 13.332085775405377)]","[(13.191187376076131, 13.083089934067132)]","[(15.032555246103385, 13.196765692051942)]","[(14.949766178520024, 12.968237262020033)]","[(13.223076101532973, 14.193328344522682)]","(14.950000000000003, 13.800000000000004)"
"(-2.3000000000000007, 15.800000000000004)","[(26.920389861289724, 4.506260577526971)]","[(27.18698124291508, 5.1647327317534355)]","[(27.913065437821665, 3.851481658977603)]","[(27.911710977717874, 5.044651936653754)]","[(27.394580915078688, 6.0530281123901615)]","[(27.938160392251532, 5.230069816051728)]","[(27.51569417881195, 4.341233335968345)]","[(26.511355864750083, 5.013185531321475)]","[(27.856586528843998, 5.211476767204452)]","[(26.930744754785962, 5.527553099423883)]","[(26.704853439895757, 5.670256213120955)]","[(27.592325677400485, 4.459443277973435)]","[(28.01045236678373, 5.2885176399435325)]","[(27.24165498207003, 4.653222334547469)]","[(27.513372267940504, 3.7254201968293374)]","[(26.481786481988486, 4.563726139085161)]","[(27.049551476443305, 5.022755471380401)]","[(26.965318686266194, 5.21410280126007)]","[(27.395210578151485, 5.028491432242359)]","[(27.36520457243289, 4.633946696003412)]","(27.950000000000003, 6.2500000000000036)"
"(1.1500000000000021, -3.6499999999999986)","[(35.17044490951829, -14.15542668950407)]","[(33.85819867146375, -14.381029268471124)]","[(35.01090647997367, -15.035396672609433)]","[(33.38778494896633, -14.089351073509116)]","[(34.91759520423037, -15.205178095541534)]","[(33.623018056680685, -14.331707727302915)]","[(33.888765769882326, -14.197478469281796)]","[(33.92952201511622, -15.131591546508925)]","[(33.88155669408992, -14.496063928464517)]","[(33.53478992048972, -14.909421383413028)]","[(33.29534810850405, -14.598352585434988)]","[(33.94033600491007, -14.495266727666372)]","[(34.06873827181111, -15.156399558121988)]","[(34.06714835538867, -14.637009583218218)]","[(33.845974162400076, -14.771084419376352)]","[(33.948376817399705, -13.73908791270371)]","[(34.57376348049233, -14.453771026615598)]","[(33.54771282934947, -14.61158277956208)]","[(33.61814253466836, -14.190191448234891)]","[(33.256005466253235, -15.634904779420133)]","(32.900000000000006, -14.849999999999998)"
